timestamp,pos_x,pos_y,pos_z,q_x,q_y,q_z,q_w
1751120449.792905,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.8128572,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.833015,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.8528686,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.8726575,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.892652,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.9126387,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.9329977,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.953111,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.972998,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120449.992668,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.0120876,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.0334694,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.05297,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.0723224,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.0916266,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.1109376,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.1328373,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.152689,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.1724555,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.1933208,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.2122548,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.232487,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.251684,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.273438,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.2908201,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.3132071,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.3334801,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.3530457,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.372222,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.391651,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.413099,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.4327703,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.4526196,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.4733717,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.4928312,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.5126941,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.533118,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.5527875,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.5722904,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.5933292,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.6118608,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.6325128,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.6533492,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.6721144,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.6928172,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.711925,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.7326012,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.752093,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.7707088,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.7930577,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.8130188,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.8325758,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.852701,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.8716717,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.8927789,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.9129398,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.9321206,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.9523537,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.9724352,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120450.9927022,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.01262,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.0315611,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.0529084,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.0728874,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.0924778,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.1124356,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.133103,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.1521664,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.1731524,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.1928058,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.212999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.2315824,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.2528641,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.2727585,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.293398,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.3134325,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.3322656,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.3527343,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.3727503,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.392789,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.411419,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.4328325,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.4534276,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.4726558,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.492352,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.511912,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1751120451.532476,0.0,0.0,0.0,0.0,0.0,0.0,1.0
